(PDH-CSV 4.0) (Central European Summer Time)(-120),\\DESKTOP-940RFIL\Proces(chrome#6)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#5)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#4)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(chrome#6)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#5)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(chrome)\Czas procesora (%)
04:48.4,23257088,35778560,16613376,155602944,4059136,4018176,111828992,0,0,0,13.89578532,0,0,10.80783302
04:49.4,23257088,35778560,16613376,155279360,4059136,4018176,111837184,0,0,0,7.657457918,0,0,10.72044109
04:50.5,23257088,35778560,16613376,149118976,4059136,4018176,111837184,0,0,0,3.059183203,0,0,21.41428242
04:51.4,23257088,35778560,16613376,146116608,4059136,4018176,111841280,0,0,0,4.989212657,0,0,16.63070886
04:52.4,23257088,35778560,16613376,145629184,4059136,4018176,111841280,1.551769206,0,0,1.551769206,0,0,15.51769206
04:53.4,23257088,35778560,16613376,145453056,4059136,4018176,111841280,0,0,0,3.006967794,0,0,9.020903382
04:54.4,23257088,35778560,16613376,144437248,4059136,4018176,111841280,0,0,0,4.946837981,0,0,1.648945994
04:55.4,23257088,35778560,16613376,136896512,4059136,4018176,111841280,0,0,0,7.579057451,0,0,7.579057451
04:56.4,23257088,35778560,16613376,136695808,4059136,4018176,111845376,0,0,0,3.159747426,0,0,7.899368566
04:57.4,23257088,35778560,16613376,139235328,4059136,4018176,111828992,0,0,0,10.95666101,0,0,9.391423722
04:58.4,23257088,35778560,16613376,139235328,4059136,4018176,111820800,0,0,0,7.73490498,0,0,6.187923984
04:59.4,23257088,35778560,16613376,139235328,4059136,4018176,111820800,1.535391889,0,0,1.535391889,0,0,18.42470266
05:00.4,23257088,35778560,16613376,139190272,4059136,3952640,110649344,0,0,0,3.268717671,0,0,8.171794178
05:01.4,23257088,35778560,16613376,138878976,4059136,3952640,110997504,0,0,0,1.522290968,0,0,24.35665548
05:02.4,23257088,34406400,16613376,138858496,4059136,3952640,123891712,0,0,0,4.829661571,0,0,30.58785662
