start,end,total
221,15853,15632
15873,29831,13958
29842,43643,13800
43654,57210,13557
57224,70812,13588
70828,84361,13533
84374,98009,13635
98034,111832,13798
111844,125420,13576
125435,138910,13474
138928,152369,13441
152379,165925,13546
165940,179141,13201
179154,192891,13737
192903,206185,13283
206203,219844,13641
219855,233494,13639
233505,247014,13509
247025,260664,13639
260675,274205,13530
274221,287955,13734
287969,301720,13751
301731,315274,13543
315285,328626,13342
328645,342112,13468
342136,356068,13932
356083,369554,13471
369565,383178,13613
383191,397079,13888
397094,410571,13477
410585,423963,13379
423977,437452,13474
437465,451007,13541
451018,465013,13995
465035,478400,13365
478411,492045,13634
492057,505482,13425
505498,519643,14144
519655,533138,13483
533151,547214,14064
547226,560753,13527
560764,574047,13284
574062,587519,13457
587532,600815,13283
600832,614330,13499
614341,628674,14333
628686,642414,13728
642425,655896,13471
655908,669516,13607
669527,682922,13395
