start,end,total
159,12344,12186
12356,23845,11489
23863,35342,11479
35358,46839,11482
46853,58252,11398
58265,69726,11461
69740,81129,11389
81141,92640,11499
92654,104198,11545
104213,115753,11541
115769,127286,11517
127298,139007,11709
139020,150574,11553
150585,162212,11628
162226,173761,11536
173779,185269,11490
185283,197052,11769
197064,208554,11490
208566,220152,11586
220162,231787,11625
231799,243770,11971
243781,255218,11437
255231,267043,11812
267055,278608,11553
278622,290169,11547
290188,301700,11512
301717,313223,11506
313234,325150,11916
325177,336896,11719
336908,348415,11507
348430,359893,11463
359904,371282,11378
371295,383292,11996
383303,394867,11564
394883,406414,11531
406429,417854,11425
417869,429428,11560
429445,441680,12235
441693,453303,11610
453318,465012,11694
465023,476913,11889
476927,488644,11717
488659,500331,11672
500343,512456,12113
512470,524652,12181
524664,536626,11961
536638,548288,11650
548303,560095,11792
560108,572204,12095
572216,584520,12304
