start,end,total
79,5754,5675
5775,11198,5423
11202,16621,5419
16626,22099,5473
22102,27606,5504
27610,33050,5440
33054,38510,5456
38515,44127,5612
44131,49628,5497
49633,55300,5667
55303,61076,5773
61083,66729,5646
66734,72269,5535
72272,77759,5487
77763,83334,5571
83336,88773,5437
88779,94177,5398
94181,99728,5547
99732,105310,5578
105314,110781,5467
110786,116610,5824
116615,122320,5705
122327,127980,5653
127985,133733,5748
133738,139235,5497
139237,144613,5376
144616,150088,5472
150090,155714,5624
155716,161140,5424
161147,166533,5386
166535,172025,5490
172030,177657,5627
177662,183151,5489
183153,188598,5445
188602,194261,5659
194265,199969,5704
199972,205748,5776
205751,211429,5678
211433,217381,5948
217385,223158,5773
223164,228957,5793
228959,234846,5887
234850,240579,5729
240584,246315,5731
246318,252309,5991
252314,257956,5642
257959,263483,5524
263487,268895,5408
268898,274367,5469
274372,279921,5549
