"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/09/2020 09:54:14.045"," "," "," "," "," ","100","100","100","100","183857152","239607808","59904000","29843456","15097856"
"05/09/2020 09:54:15.052","40.365823159241458029","13.972784939737428189","85.389241298395390345","0","0","100","100","100","100","200404992","167292928","111329280","27328512","15097856"
"05/09/2020 09:54:16.060","7.7493413183868833372","4.649604791032129647","100.74143713902947184","0","0","100","100","100","100","200396800","166375424","112246784","27328512","15097856"
"05/09/2020 09:54:17.061","0","3.121210850028065753","104.5605634759401994","0","0","100","100","100","100","199684096","166375424","98856960","27328512","15097856"
"05/09/2020 09:54:18.045","1.5873006198040666703","1.5873006198040666703","103.17454028726433535","0","0","100","100","100","100","199647232","161984512","99639296","27328512","15097856"
"05/09/2020 09:54:19.053","4.6520795316539400588","1.5506931772179801676","102.34574969638667596","0","0","100","100","100","100","192561152","147062784","99889152","26296320","15097856"
"05/09/2020 09:54:20.068","0","0","103.08098288178734947","0","0","100","100","100","100","189243392","147062784","101072896","26562560","15097856"
"05/09/2020 09:54:21.053","0","4.7619062131523701709","101.58733254725056838","0","0","100","100","100","100","189243392","147062784","101593088","26562560","15097856"
"05/09/2020 09:54:22.056","0","1.5571428058906138236","102.77142518878052613","0","0","100","100","100","100","189243392","146931712","102146048","26562560","15097856"
"05/09/2020 09:54:23.072","3.0770245713950936661","6.1540491427901873323","98.464786284642997316","0","0","100","100","100","100","188014592","146407424","102637568","26562560","15097856"
"05/09/2020 09:54:24.063","0","1.5760861780722181802","102.44560157469418016","0","0","100","100","100","100","188014592","146407424","103112704","26562560","15097856"
"05/09/2020 09:54:25.048","0","3.1747115380903414561","101.5907692188909266","0","0","100","100","100","100","187973632","150528000","103583744","26562560","15097856"
"05/09/2020 09:54:26.063","1.5384616899408434243","1.5384616899408434243","103.07693322603650188","0","0","100","100","100","100","187944960","150528000","104087552","26562560","15097856"
"05/09/2020 09:54:27.049","3.1700280291342317618","1.5850140145671158809","104.61092496142963171","0","0","100","100","100","100","188047360","150675456","104579072","26562560","15097856"
"05/09/2020 09:54:28.049","0","3.1248956284860085475","96.871764483066272078","0","0","100","100","100","100","187924480","148635648","105103360","26562560","15097856"
"05/09/2020 09:54:29.056","3.1049158518125503647","1.5524579259062751824","100.9097651839078793","0","0","100","100","100","100","187895808","148635648","105623552","26509312","15097856"
"05/09/2020 09:54:30.071","3.0769333775492762051","4.6154000663239145297","98.461868081576838563","0","0","100","100","100","100","187895808","115421184","106176512","26509312","15097856"
"05/09/2020 09:54:31.056","0","1.5872769164832281064","101.58572265492659881","0","0","100","100","100","100","187895808","115159040","106684416","26509312","15097856"
"05/09/2020 09:54:32.057","0","0","99.881360919499812212","0","0","100","100","100","100","187895808","115159040","107163648","26509312","15097856"
"05/09/2020 09:54:33.057","0","0","99.999950000024995234","0","0","100","100","100","100","187895808","115159040","107659264","26509312","15097856"
