"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/09/2020 21:36:33.007"," "," "," "," "," ","100","100","100","100","216506368","216678400","71016448","29814784","14790656"
"05/09/2020 21:36:34.019","29.803890151820887411","18.823509569571090339","4.7058773923927725846","0","0","100","100","100","100","187944960","242966528","73207808","29827072","14790656"
"05/09/2020 21:36:35.022","29.587184650442672762","12.457761958081125186","165.06534594457491494","0","0","100","100","100","100","205733888","250417152","154542080","29827072","14790656"
"05/09/2020 21:36:36.008","9.511303639060281867","17.437390004943846833","96.698253663779524913","0","0","100","100","100","100","204345344","234827776","155275264","29827072","14790656"
"05/09/2020 21:36:37.008","10.937480312535436511","0","106.24980875034424344","0","0","100","100","100","100","203894784","216707072","131026944","29769728","14790656"
"05/09/2020 21:36:38.024","4.6153873420134452488","4.6153873420134452488","103.07698397163360937","0","0","100","100","100","100","192819200","188280832","131489792","29769728","14934016"
"05/09/2020 21:36:39.032","4.6479911456636298084","6.1973215275515070033","97.607814058936227752","0","0","100","100","100","100","192839680","155713536","132075520","27344896","14934016"
"05/09/2020 21:36:40.032","4.6875070312605471301","1.562502343753515488","100.00015000022499123","0","0","100","100","100","100","190050304","155713536","131747840","27344896","14934016"
"05/09/2020 21:36:41.018","0","1.5850210891493969889","106.19641297300958627","0","0","100","100","100","100","189280256","155713536","127254528","27344896","14934016"
"05/09/2020 21:36:42.018","6.2499712501322495228","1.5624928125330623807","95.312061564516810108","0","0","100","100","100","100","185925632","153321472","127766528","27344896","14934016"
"05/09/2020 21:36:43.033","0","3.0770191177905563684","98.464611769297803789","0","0","100","100","100","100","185925632","148865024","128258048","26103808","14934016"
"05/09/2020 21:36:44.027","4.7163807575689737916","3.1442538383793157131","102.18824974732775956","0","0","100","100","100","100","185925632","148865024","128823296","26460160","14934016"
"05/09/2020 21:36:45.027","0","1.5624479704825828819","101.55911808136788466","0","0","100","100","100","100","185925632","148865024","127139840","26460160","14934016"
"05/09/2020 21:36:46.013","0","3.1707842216906803046","98.294310872411088553","0","0","100","100","100","100","185925632","152301568","126758912","26460160","14934016"
"05/09/2020 21:36:47.029","0","1.5385253138862420297","100.0041454026057437","0","0","100","100","100","100","186183680","152301568","127270912","26460160","14934016"
"05/09/2020 21:36:48.029","3.124999062500281255","3.124999062500281255","98.43747046875886042","0","0","100","100","100","100","185659392","152473600","127770624","26460160","14934016"
"05/09/2020 21:36:49.026","0","4.6990987855323300693","101.81380701986712722","0","0","100","100","100","100","185659392","150958080","128344064","26460160","14934016"
"05/09/2020 21:36:50.026","0","1.5625550019360681109","103.12863012778051086","0","0","100","100","100","100","185733120","150958080","127971328","26460160","14934016"
"05/09/2020 21:36:51.026","0","3.1246453527524624683","104.67561931720750579","0","0","100","100","100","100","185733120","117157888","128466944","26460160","14934016"
"05/09/2020 21:36:52.027","0","1.5608041862516375264","101.45227210635643189","0","0","100","100","100","100","186048512","116240384","128929792","26460160","14934016"
"05/09/2020 21:36:53.027","0","0","104.68804437783076366","0","0","100","100","100","100","186048512","116240384","129531904","26460160","14934016"
"05/09/2020 21:36:54.025","3.1331775935190848692","1.5665887967595424346","100.26168299261071581","0","0","100","100","100","100","186048512","116240384","128999424","26406912","14934016"
"05/09/2020 21:36:55.025","0","1.5625015625015625798","101.56260156260157146","0","0","100","100","100","100","186019840","116240384","129499136","26406912","14934016"
"05/09/2020 21:36:56.025","0","1.5624998437500157156","99.999990000001005797","0","0","100","100","100","100","186019840","116240384","129937408","26406912","14934016"
"05/09/2020 21:36:57.010","0","3.1697672569229742301","101.43255222153517536","0","0","100","100","100","100","186019840","116240384","130441216","26406912","14934016"
"05/09/2020 21:36:58.026","0","3.0769963946464007343","103.07937922065441683","0","0","100","100","100","100","186019840","116240384","129925120","26406912","14934016"
"05/09/2020 21:36:59.024","1.5664540432960880612","3.1329080865921761223","103.38596685754180271","0","0","100","100","100","100","187719680","116195328","130367488","26378240","14934016"
"05/09/2020 21:37:00.024","3.1248896913938937203","4.6873345370908401364","101.55891497030154369","0","0","100","100","100","100","185454592","116195328","130834432","26378240","14934016"
"05/09/2020 21:37:01.024","0","4.6876645370252498779","103.1286198145555062","0","0","100","100","100","100","185454592","116195328","131321856","26378240","14934016"
"05/09/2020 21:37:02.009","0","1.5852280486243466306","99.869367063333839951","0","0","100","100","100","100","185454592","116195328","130838528","26378240","14934016"
"05/09/2020 21:37:03.009","0","3.1249903125300311224","101.56218515722601126","0","0","100","100","100","100","185454592","116195328","131301376","26378240","14934016"
"05/09/2020 21:37:04.015","0","0","100.99381393312395971","0","0","100","100","100","100","185454592","116195328","131780608","26415104","14934016"
"05/09/2020 21:37:05.022","6.2064974182956822446","3.1032487091478411223","99.303958692730915914","0","0","100","100","100","100","184963072","116195328","132214784","26415104","14934016"
"05/09/2020 21:37:06.022","1.5624973437545157662","1.5624973437545157662","101.56232734404350992","0","0","100","100","100","100","184963072","116195328","132698112","26415104","14934016"
"05/09/2020 21:37:07.008","1.5849738192756552824","0","103.02329825291758425","0","0","100","100","100","100","184963072","116195328","132124672","26415104","14934016"
