start,end,total,start: 19:23:59 GMT+0200 (Central European Summer Time),end: 20:13:51 GMT+0200 (Central European Summer Time)
69.01499999730731,60109.39999999755,60040.38500000024,
60134.43499999994,119961.15499999723,59826.719999997295,
119982.2299999978,179828.52999999886,59846.300000001065,
179845.98499999993,239668.19499999838,59822.20999999845,
239687.64499999816,299516.04999999836,59828.4050000002,
299535.40000000066,359344.51999999874,59809.119999998074,
359362.8299999982,419175.339999998,59812.50999999978,
419193.75500000024,479033.43499999755,59839.679999997315,
479049.28499999736,538956.9100000008,59907.62500000349,
538975.2449999978,598856.495,59881.25000000221,
598872.9649999987,658689.2399999998,59816.27500000107,
658708.5399999996,718492.9699999993,59784.4299999997,
718511.599999998,778338.3900000008,59826.79000000283,
778356.6350000001,838138.8399999996,59782.20499999949,
838156.5899999987,898000.4649999973,59843.8749999986,
898016.9199999982,957844.9899999978,59828.0699999996,
957865.4900000001,1017677.7999999977,59812.30999999761,
1017695.2649999985,1077512.5000000007,59817.2350000022,
1077531.2749999976,1137350.0449999992,59818.77000000165,
1137366.2449999973,1197213.1750000007,59846.93000000343,
1197231.9150000003,1257057.0499999993,59825.13499999908,
1257074.779999999,1316900.6149999986,59825.8349999995,
1316916.9849999999,1376767.2749999983,59850.28999999841,
1376785.5949999976,1436607.3199999991,59821.72500000149,
1436623.889999999,1496397.5800000008,59773.69000000181,
1496415.3650000007,1556219.1149999998,59803.74999999907,
1556236.069999999,1616034.3299999987,59798.25999999978,
1616051.5149999992,1675877.16,59825.64500000072,
1675894.9699999976,1735694.2899999996,59799.32000000193,
1735709.6899999997,1795511.6149999995,59801.924999999814,
1795531.254999998,1855345.6249999981,59814.37000000011,
1855364.3200000005,1915163.4349999987,59799.11499999813,
1915179.6799999974,1975012.9400000004,59833.260000003036,
1975028.879999998,2034865.4949999982,59836.61500000022,
2034881.0049999992,2094728.2849999974,59847.279999998165,
2094743.445,2154569.5099999974,59826.06499999738,
2154588.0499999984,2214392.8699999996,59804.82000000123,
2214410.2649999987,2274192.6999999997,59782.43500000099,
2274210.7649999997,2334021.764999998,59810.99999999814,
2334044.4849999985,2393871.5599999996,59827.07500000112,
2393886.770000001,2453716.8299999977,59830.059999996796,
2453732.3099999996,2513520.1799999997,59787.87000000011,
2513536.799999998,2573324.2449999996,59787.445000001695,
2573340.9949999987,2633110.5800000005,59769.585000001825,
2633128.2849999988,2692943.974999998,59815.68999999948,
2692962.28,2752798.4399999985,59836.15999999875,
2752817.25,2812627.1500000004,59809.90000000037,
2812644.239999998,2872463.605000001,59819.36500000302,
2872479.5049999994,2932314.054999999,59834.54999999935,
2932329.454999999,2992128.2299999986,59798.77499999944,
