(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
01:26.6,3.124998125,6.24999625,296.8748219,0,0,240902144,130400256,127062016,30572544,27217920
01:27.6,4.687502813,4.687502813,295.3126772,0,0,240902144,130400256,128192512,30572544,27217920
01:28.6,3.128858508,4.693287762,290.9838413,0,0,240902144,130400256,125689856,30572544,27217920
01:29.6,0,4.687495781,299.99973,0,0,240902144,130400256,123609088,30572544,27217920
01:30.6,0,3.076923986,300.0000886,0,0,240902144,130400256,124760064,30572544,27217920
01:31.6,1.562501563,4.687504688,298.4377984,0,0,240902144,130400256,126169088,30572544,27217920
01:32.6,3.124996875,4.687495313,299.9997,0,0,241860608,130400256,111722496,30572544,27217920
01:33.6,1.564481259,4.693443777,298.8159205,0,0,242561024,130400256,113262592,30572544,27217920
01:34.6,3.125001563,0,295.3126477,0,0,243081216,130400256,114700288,30572544,27217920
01:35.6,4.687497188,7.812495313,290.6248256,0,0,243081216,130400256,116121600,30572544,27217920
01:36.6,3.125,7.8125,285.9375,0,0,243081216,130400256,117514240,30572544,27217920
01:37.6,0,6.25000875,300.00042,0,0,242319360,130400256,118841344,30572544,27217920
01:38.6,0,6.261033193,298.964335,0,0,242343936,130400256,120168448,30572544,27217920
01:39.6,0,4.687499531,296.8749703,0,0,242343936,130400256,121450496,30572544,27217920
01:40.6,0,9.375006563,290.6252034,0,0,242343936,130400256,122732544,30572544,27217920
01:41.6,1.562499844,6.249999375,290.6249709,0,0,242343936,130400256,123985920,30572544,27217920
01:42.6,0,1.562500313,293.7500588,0,0,242343936,130400256,125259776,30572544,27217920
01:43.6,1.564492851,1.564492851,300.3826274,0,0,242343936,130400256,126492672,30572544,27217920
01:44.6,1.562500313,1.562500313,295.3125591,0,0,242343936,130400256,127737856,30572544,27217920
01:45.6,3.124998438,4.687497656,295.3123523,0,0,242343936,130400256,128962560,30572544,27217920
01:46.6,1.562499688,7.812498438,293.7499413,0,0,242343936,130400256,130248704,30572544,27217920
01:47.6,0,4.687498594,299.99991,0,0,242343936,130400256,131436544,30572544,27217920
01:48.6,0,6.257931302,297.2517369,0,0,242343936,130400256,132640768,30572544,27217920
01:49.6,6.249998125,4.687498594,287.4999138,0,0,242343936,130400256,133804032,30572544,27217920
01:50.6,0,7.812508594,298.4378283,0,0,242343936,130400256,135024640,30572544,27217920
01:51.6,3.124999063,6.249998125,293.7499119,0,0,242343936,130400256,136261632,30572544,27217920
01:52.6,1.562500156,3.125000313,296.8750297,0,0,242343936,130400256,137433088,30572544,27217920
01:53.6,1.564475933,4.693427799,300.3793792,0,0,242343936,130400256,138493952,30572544,27217920
01:54.6,0,3.124994375,299.99946,0,0,242343936,130400256,139657216,30572544,27217920
01:55.6,0,4.687501875,296.8751188,0,0,242343936,130400256,140804096,30572544,27217920
01:56.6,0,3.124983125,299.99838,0,0,242343936,130400256,141987840,30572544,27217920
01:57.6,1.562509688,0,296.8768406,0,0,242343936,130400256,143126528,30572544,27217920
01:58.6,1.551823301,0,299.501897,0,0,241946624,130400256,128135168,30572544,27217920
01:59.6,0,4.725957479,299.3106403,0,0,242368512,130400256,129572864,30572544,27217920
02:00.6,3.124996563,6.249993125,299.99967,0,0,242475008,130400256,131092480,30572544,27217920
02:01.6,6.250000625,4.687500469,293.7500294,0,0,242475008,130400256,132497408,30572544,27217920
02:02.6,4.687501875,10.93750438,285.9376144,0,0,242446336,130400256,133832704,30572544,27217920
02:03.6,4.731168209,6.308224279,288.6012608,0,0,242372608,130400256,135143424,30572544,27217920
02:04.6,1.550879877,6.20351951,299.3198163,0,0,242372608,130400256,138653696,30572544,27217920
02:05.6,1.562499531,3.124999063,299.99991,0,0,242372608,130400256,139931648,30572544,27217920
02:06.6,3.125001563,1.562500781,298.4376492,0,0,242372608,130400256,141209600,30572544,27217920
02:07.6,0,4.687498125,295.3123819,0,0,242372608,130400256,142487552,30572544,27217920
02:08.6,1.577103187,4.731309561,288.6098832,0,0,242372608,130400256,143716352,30572544,27217920
02:09.6,3.100234398,3.100234398,296.072385,0,0,242372608,130400256,144945152,30572544,27217920
02:10.6,0,4.6875,295.3125,0,0,242372608,130400256,146202624,30572544,27217920
02:11.6,0,6.249990625,298.4370523,0,0,242372608,130400256,147443712,30572544,27217920
02:12.6,0,1.562502969,295.3130611,0,0,242372608,130400256,148697088,30572544,27217920
02:13.6,0,0,298.6405243,0,0,242372608,130400256,149893120,30572544,27217920
02:14.6,1.588373008,11.11861106,285.9071414,0,0,242372608,130400256,151072768,30572544,27217920
02:15.6,0,9.374989688,293.7496769,0,0,242372608,130400256,153325568,30572544,27217920
02:16.6,3.124999688,6.249999375,295.3124705,0,0,242372608,130400256,154513408,30572544,27217920
02:17.6,3.124997813,6.249995625,296.8747922,0,0,242372608,130400256,155705344,30572544,27217920
02:18.6,0,0,300.00018,0,0,242372608,130400256,156856320,30572544,27217920
02:19.6,1.564446798,6.25778719,297.2448915,0,0,242372608,130400256,158068736,30572544,27217920
02:20.6,0,0,300.00063,0,0,242372608,130400256,159199232,30572544,27217920
02:21.6,0,1.562498906,301.5622889,0,0,242372608,130400256,160387072,30572544,27217920
02:22.6,0,6.24999875,292.1874416,0,0,242372608,130400256,161525760,30572544,27217920
02:23.6,0,1.562499688,298.4374403,0,0,242372608,130400256,162758656,30572544,27217920
02:24.6,3.12897317,6.25794634,286.3010451,0,0,242642944,130400256,148078592,30572544,27217920
02:25.6,1.542427314,1.542427314,297.6884715,0,0,242536448,130400256,149585920,30572544,27217920
02:26.6,6.25,6.25,287.5,0,0,242536448,130400256,151052288,30572544,27217920
02:27.6,6.249976875,4.687482656,293.7489131,0,0,242548736,130400256,152444928,30572544,27217920
02:28.6,3.125012188,7.812530469,293.7511456,0,0,242548736,130400256,153853952,30572544,27217920
02:29.6,1.567626609,7.838133047,293.1461759,0,0,242548736,130400256,155148288,30572544,27217920
02:30.6,0,1.562500156,300.00003,0,0,242548736,130400256,156495872,30572544,27217920
02:31.6,0,3.124999375,301.5624397,0,0,242552832,130400256,157814784,30572544,27217920
02:32.6,0,3.125,300,0,0,242552832,130400256,159092736,30572544,27217920
02:33.6,0,1.562502031,298.437888,0,0,242552832,130400256,160501760,30572544,27217920
02:34.6,0,4.69342545,300.3792288,0,0,242552832,130400256,161763328,30572544,27217920
02:35.6,1.562499844,4.687499531,298.4374702,0,0,242552832,130400256,162975744,30572544,27217920
02:36.6,12.5000025,3.125000625,284.3750569,0,0,242552832,130400256,164249600,30572544,27217920
02:37.6,0,3.125003438,298.4378283,0,0,242552832,130400256,165457920,30572544,27217920
02:38.6,1.562494844,6.249979375,296.8740203,0,0,242552832,130400256,166703104,30572544,27217920
02:39.6,0,4.693491242,292.5609541,0,0,242552832,130400256,167907328,30572544,27217920
02:40.6,0,10.93749891,287.4999713,0,0,242552832,130400256,169127936,30572544,27217920
02:41.6,3.125001563,6.250003125,290.6251453,0,0,242552832,130400256,170373120,30572544,27217920
02:42.6,1.562500625,4.687501875,298.4376194,0,0,242552832,130400256,171577344,30572544,27217920
02:43.6,1.562500313,0,304.6875609,0,0,242552832,130400256,172740608,30572544,27217920
02:44.6,1.575498652,4.726495955,297.7692452,0,0,242552832,130400256,173895680,30572544,27217920
02:45.6,0,3.103326985,302.574381,0,0,242552832,130400256,175071232,30572544,27217920
02:46.6,0,6.2500025,300.00012,0,0,242552832,130400256,176238592,30572544,27217920
02:47.6,0,0,299.99988,0,0,242552832,130400256,177455104,30572544,27217920
02:48.6,0,0,298.4376492,0,0,242552832,130400256,178593792,30572544,27217920
02:49.6,0,1.577102869,298.0724422,0,0,242614272,130400256,179773440,30572544,27217920
02:50.6,3.10025685,3.10025685,300.7249145,0,0,242622464,130400256,166354944,30572544,27217920
