"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/08/2020 16:57:22.524"," "," "," "," "," ","100","100","100","100","181968896","236548096","54288384","26673152","14958592"
"05/08/2020 16:57:23.531","6.2080010107618921467","0","1.5520002526904730367","0","0","100","100","100","100","181944320","173776896","54288384","26677248","14958592"
"05/08/2020 16:57:30.539","8.6951032560188412646","1.7836109243115572109","335.7647565016506519","0","0","100","100","100","100","197206016","148025344","86749184","26677248","14958592"
"05/08/2020 16:57:31.524","0","0","368.25366897479597128","0","0","100","100","100","100","196648960","147730432","88748032","26677248","14958592"
"05/08/2020 16:57:32.539","0","0","381.53876207360951867","0","0","100","100","100","100","196648960","147730432","90578944","26652672","14958592"
"05/08/2020 16:57:33.524","1.5873025548002874796","1.5873025548002874796","361.90498249446551426","0","0","100","100","100","100","193314816","147730432","92229632","26652672","14958592"
"05/08/2020 16:57:34.536","3.0869051212793161554","0","378.14587735671625524","0","0","100","100","100","100","191700992","147730432","94175232","26652672","14958592"
"05/08/2020 16:57:35.536","0","0","392.18659797082466412","0","0","100","100","100","100","191700992","147730432","95969280","26652672","14958592"
"05/08/2020 16:57:36.598","0","0","388.23617107464525589","0","0","100","100","100","100","191643648","147730432","97878016","26652672","14958592"
"05/08/2020 16:57:42.206","0.55723204636684176005","0","392.84859268862339832","0","0","100","100","100","100","188641280","147685376","76451840","26595328","14958592"
"05/08/2020 16:57:42.535","4.7619352382902873089","0","95.238704765805735519","0","0","100","100","100","100","188641280","147685376","171089920","26595328","14958592"
"05/08/2020 16:57:48.361","0.5363119947061458781","0.5363119947061458781","392.84853612225185771","0","0","100","100","100","100","190038016","114479104","205086720","26632192","14958592"
"05/08/2020 16:57:48.549","0","0","391.66583111289361341","0","0","100","100","100","100","190038016","114479104","205381632","26632192","14958592"
"05/08/2020 16:57:49.540","0","0","403.54095078081638803","0","0","100","100","100","100","190038016","113823744","207241216","26632192","14958592"
"05/08/2020 16:57:50.532","0","0","394.0353761808452191","0","0","100","100","100","100","190001152","113430528","208945152","26632192","14958592"
