start,end,total
36,23015,22980
23029,41843,18814
41858,60417,18559
60448,79140,18692
79152,98067,18914
98083,117088,19005
117100,135716,18616
135733,154486,18754
154500,173343,18844
173358,192151,18794
192168,210908,18740
210926,230042,19116
230056,248852,18796
248866,267899,19034
267914,287027,19113
287042,305974,18931
305988,325337,19349
325353,344176,18823
344189,362718,18529
362734,382320,19586
382335,401451,19115
401464,420414,18950
420428,439049,18621
439160,458774,19614
458788,477788,19000
477802,496736,18934
496750,515705,18955
515721,535198,19476
535210,554271,19061
554284,573350,19066
573363,592360,18996
592374,610919,18545
610932,629874,18942
629887,648579,18693
648596,668671,20075
668686,687658,18972
687674,706368,18693
706385,725053,18668
725070,744097,19027
744113,762689,18576
762704,783330,20627
783347,802558,19211
802575,821728,19153
821743,840399,18656
840414,859236,18822
859250,878496,19246
878511,897646,19135
897661,917838,20177
917850,937112,19263
937128,955901,18773
