"(PDH-CSV 4.0) (","\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%)","\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%)","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_0)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_1)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_2)\% of Maximum Frequency","\\DESKTOP-940RFIL\Processor Performance(PPM_Processor_3)\% of Maximum Frequency","\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne","\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne"
"05/09/2020 19:23:48.758"," "," "," "," "," ","100","100","100","100","246665216","267239424","72372224","29528064","14929920"
"05/09/2020 19:23:49.763","23.691862948170442138","11.056202709146207397","90.029079203047672308","0","0","100","100","100","100","252715008","236101632","105893888","29470720","14929920"
"05/09/2020 19:23:50.775","10.807155972530901877","1.5438794246472717919","98.808283177425394683","0","0","100","100","100","100","210882560","182497280","106737664","29470720","15073280"
"05/09/2020 19:23:51.769","70.767805909661589681","12.580943272828726265","105.36539990994057803","0","0","100","100","100","100","258445312","182579200","111390720","27439104","15073280"
"05/09/2020 19:23:52.784","41.53849016806707084","15.384625988172990319","113.84623231248012587","0","0","100","100","100","100","271810560","186933248","131964928","27439104","15073280"
"05/09/2020 19:23:53.784","7.8125148437782039323","3.1250059375112813065","110.9377107816504946","0","0","100","100","100","100","271933440","184053760","114712576","27439104","15073280"
"05/09/2020 19:23:54.770","17.433732291512090029","12.679078030190609638","96.677969980203386058","0","0","100","100","100","100","255700992","187199488","115204096","27439104","15073280"
"05/09/2020 19:23:55.770","1.5624962500090000539","4.6874887500269997176","95.312271250549002843","0","0","100","100","100","100","244940800","186609664","115707904","26775552","15073280"
"05/09/2020 19:23:56.783","1.5420014043315188879","1.5420014043315188879","98.688089877217208823","0","0","100","100","100","100","240693248","185503744","116600832","26775552","15073280"
"05/09/2020 19:23:57.783","1.5625506266403033084","3.1251012532806066169","104.69089198490031833","0","0","100","100","100","100","239726592","145252352","110600192","26775552","15073280"
"05/09/2020 19:23:58.783","3.1249987500005000918","15.624993750002499127","99.999960000016002937","0","0","100","100","100","100","239730688","144809984","111063040","26775552","15073280"
