start,end,total,start: 14:05:31 GMT+0200 (Central European Summer Time),end: 14:18:23 GMT+0200 (Central European Summer Time)
49.98999999997977,15686.325000000124,15636.335000000145,
15695.345000000088,32989.50000000013,17294.155000000042,
32996.030000000246,49079.64500000025,16083.615000000005,
49081.04500000036,64485.66000000028,15404.614999999918,
64494.245000000315,79864.73999999999,15370.494999999675,
79869.29499999997,95260.84500000025,15391.55000000028,
95261.8050000001,110640.39000000003,15378.584999999934,
110647.87999999999,126216.31000000025,15568.430000000255,
126220.08500000038,141586.00000000023,15365.914999999848,
141593.19500000039,157005.4100000002,15412.214999999822,
157009.5650000003,172411.30000000022,15401.734999999928,
172417.85500000016,187824.32000000018,15406.465000000026,
187828.52500000034,203221.64500000008,15393.119999999733,
203222.75500000024,218595.30500000028,15372.550000000047,
218602.06000000017,233993.69999999998,15391.63999999981,
233997.7450000001,249453.97500000036,15456.230000000243,
249461.6450000003,264884.0950000003,15422.450000000012,
264888.105,280292.4200000002,15404.315000000235,
280293.31500000035,295696.1500000002,15402.834999999846,
295696.8300000003,311100.63500000024,15403.804999999935,
311101.31,326486.625,15385.315000000002,
326487.34000000014,341907.1600000002,15419.820000000065,
341907.9350000002,357336.6000000001,15428.66499999992,
357337.27,372734.1250000004,15396.855000000389,
372734.7450000002,388112.59500000003,15377.849999999802,
388114.505,403511.2300000001,15396.725000000093,
403511.79500000033,418876.2650000003,15364.469999999972,
418876.87000000005,434239.71500000014,15362.845000000088,
434242.5000000003,449626.205,15383.704999999725,
449626.9600000001,464973.2650000001,15346.304999999993,
464974.01000000036,480347.16000000027,15373.149999999907,
480353.85000000044,495747.49500000005,15393.644999999611,
495751.80500000034,511119.65500000044,15367.850000000093,
511126.49500000046,526513.735,15387.239999999525,
526518.1300000004,541868.41,15350.279999999679,
541868.8900000002,557237.0000000001,15368.10999999987,
557237.65,572622.9400000002,15385.290000000154,
572623.5900000002,587985.3900000002,15361.800000000047,
587986.1950000004,603346.4250000002,15360.229999999749,
603347.2250000004,618730.2100000002,15382.984999999753,
618730.8000000003,634093.8950000005,15363.095000000205,
634094.5250000004,649496.8700000003,15402.344999999972,
649498.7200000001,664878.8650000001,15380.145000000019,
664879.5450000003,680263.5050000004,15383.96000000008,
680270.2200000003,695652.3550000002,15382.134999999893,
695656.4000000003,711028.4550000001,15372.054999999818,
711035.1600000004,726403.4800000004,15368.320000000065,
726407.4900000001,741784.9400000004,15377.450000000303,
741785.4300000004,757149.6800000004,15364.25,
757150.345,772562.5200000004,15412.175000000396,
