start,end,total
9618584.460562,9618638.699562,54.239
9618639.247462,9618693.192762,53.9453
9618693.353662,9618734.848262,41.4946
9618734.974862,9618778.291062,43.3162
9618778.434762,9618826.740062,48.3053
9618826.873162,9618879.694262,52.8211
9618879.819862,9618926.140362,46.3205
9618926.278962,9618984.760062,58.4811
9618984.866062,9619029.564662,44.6986
9619029.682362,9619069.347662,39.6653
9619069.448762,9619117.005162,47.5564
9619117.136862,9619162.964062,45.8272
9619163.109362,9619209.916362,46.807
9619210.034362,9619254.734562,44.7002
9619254.858062,9619307.805362,52.9473
9619307.920662,9619355.209762,47.2891
9619355.312862,9619405.617062,50.3042
9619405.718762,9619446.084662,40.3659
9619446.205262,9619497.078562,50.8733
9619497.202062,9619538.476262,41.2742
9619538.589162,9619595.698862,57.1097
9619595.819362,9619642.132962,46.3136
9619642.252562,9619693.418362,51.1658
9619693.551562,9619752.183762,58.6322
9619752.341162,9619810.857762,58.5166
9619810.958862,9619854.171362,43.2125
9619854.412462,9619914.556562,60.1441
9619914.679162,9619963.245062,48.5659
9619963.346062,9620018.349262,55.0032
9620018.500462,9620077.169562,58.6691
9620077.364662,9620142.132462,64.7678
9620142.336462,9620201.833662,59.4972
9620201.951762,9620266.031262,64.0795
9620266.153462,9620325.017562,58.8641
9620325.139162,9620373.471762,48.3326
9620373.585262,9620420.980462,47.3952
9620421.096862,9620476.897862,55.801
9620476.995962,9620524.338662,47.3427
9620524.450662,9620582.118162,57.6675
9620582.215862,9620631.087662,48.8718
9620631.200362,9620698.954462,67.7541
9620699.070962,9620747.452962,48.382
9620747.556562,9620813.109562,65.553
9620813.254062,9620859.455762,46.2017
9620859.567462,9620909.381162,49.8137
9620909.479362,9620965.009462,55.5301
9620965.105762,9621018.092562,52.9868
9621018.207662,9621079.293562,61.0859
9621079.444062,9621149.414462,69.9704
9621149.518762,9621197.852962,48.3342
