(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
27:15.6,0,0,394.4406578,0,0,230961152,109490176,368435200,35840000,26832896
27:16.6,0,0,400.6079941,0,0,230961152,109490176,370122752,35840000,26832896
27:17.6,1.587301265,1.587301265,396.8253162,0,0,230961152,109490176,371785728,35840000,26832896
27:18.6,0,0,393.846309,0,0,230961152,109490176,373108736,35840000,26832896
27:19.6,0,0,399.9999594,0,0,230961152,109490176,373121024,35840000,26832896
27:20.6,0,0,398.4373406,0,0,230969344,109490176,374697984,35840000,26832896
27:21.7,0,0,396.2288892,0,0,230969344,109490176,376557568,35840000,26832896
27:27.6,0.528189097,0.264094549,393.5008774,0,0,230969344,109490176,337829888,35840000,26832896
27:28.6,0,0,339.6824362,0,0,232128512,109490176,323588096,35840000,26832896
27:29.6,0,0,398.4614992,0,0,232128512,109490176,324325376,35840000,26832896
27:30.6,0,0,400.0001219,0,0,232128512,109490176,326463488,35840000,26832896
27:31.6,0,0,403.8870186,0,0,232128512,109490176,328507392,35840000,26832896
27:32.6,1.58031457,0,395.0786425,0,0,232128512,109490176,330444800,35840000,26832896
27:33.7,0,0,399.999258,0,0,232128512,109490176,332505088,35840000,26832896
27:40.3,0.237014064,0.237014064,394.3914023,0,0,232128512,109490176,343994368,35840000,26832896
27:40.6,0,0,395.2354453,0,0,232128512,109490176,344666112,35840000,26832896
27:41.6,0,0,393.0117698,0,0,232128512,109490176,346284032,35840000,26832896
27:42.6,0,0,396.7114087,0,0,232128512,109490176,347914240,35840000,26832896
27:43.6,0,0,398.4613423,0,0,232128512,109490176,349630464,35840000,26832896
27:44.6,0,1.587302877,395.2384164,0,0,232128512,109490176,351248384,35840000,26832896
27:45.6,0,0,399.9997243,0,0,232128512,109490176,352997376,35840000,26832896
27:46.6,0,0,383.430278,0,0,232128512,109490176,308486144,35840000,26832896
27:53.4,0.232452672,1.162263361,388.1959626,0,0,233177088,109490176,350593024,35840000,26832896
27:53.6,0,5.55555358,388.8887506,0,0,233177088,109490176,351141888,35840000,26832896
27:54.6,0,0,392.0632531,0,0,233177088,109490176,352837632,35840000,26832896
27:55.6,0,1.538463053,395.3850047,0,0,233177088,109490176,354586624,35840000,26832896
27:56.6,1.587297879,0,395.2371718,0,0,233177088,109490176,356245504,35840000,26832896
27:57.6,0,0,399.0465843,0,0,233177088,109490176,358043648,35840000,26832896
27:58.6,1.587300136,0,393.6504337,0,0,233177088,109490176,359768064,35840000,26832896
27:59.7,0,0,397.2226459,0,0,233177088,109490176,361558016,35840000,26832896
28:11.2,0.136686288,0,391.7429025,0,0,232726528,109490176,365625344,35840000,26832896
28:11.6,0,0,393.1024072,0,0,232726528,109490176,366403584,35840000,26832896
28:12.6,0,0,382.2217314,0,0,232726528,109490176,368033792,35840000,26832896
28:13.6,1.587301749,0,395.2381354,0,0,232726528,109490176,369766400,35840000,26832896
28:14.6,0,0,395.3121838,0,0,232726528,109490176,371449856,35840000,26832896
28:15.6,0,3.076926409,384.6158012,0,0,232726528,109490176,373116928,35840000,26832896
28:16.6,0,0,395.3123023,0,0,232726528,109490176,374837248,35840000,26832896
28:17.7,0,0,397.5479665,0,0,232726528,109490176,376487936,35840000,26832896
28:23.6,0.263397839,0.263397839,397.7307362,0,0,233230336,109490176,385863680,35840000,26832896
28:24.6,0,1.562497969,364.0620267,0,0,233332736,109490176,340840448,35840000,26832896
28:25.6,0,0,373.8467796,0,0,232521728,109490176,370577408,35840000,26832896
28:26.6,0,0,393.6504337,0,0,232521728,109490176,372555776,35840000,26832896
28:27.6,0,0,402.332607,0,0,232521728,109490176,374751232,35840000,26832896
28:28.6,0,3.159054289,393.302259,0,0,232521728,109490176,328736768,35840000,26832896
28:29.7,0,0,399.9999258,0,0,232521728,109490176,330768384,35840000,26832896
28:36.1,0.24397097,0.24397097,396.696797,0,0,232521728,109490176,341995520,35840000,26832896
28:36.6,0,0,397.0588235,0,0,232521728,109490176,342867968,35840000,26832896
28:37.6,3.155847143,0,389.7471222,0,0,232521728,109490176,344645632,35840000,26832896
28:38.6,0,0,404.4938092,0,0,232521728,109490176,346341376,35840000,26832896
28:39.6,1.587300297,0,398.4123746,0,0,232521728,109490176,348000256,35840000,26832896
28:40.6,0,0,398.4615777,0,0,232521728,109490176,349712384,35840000,26832896
28:41.6,0,0,400.0000406,0,0,232521728,109490176,351449088,35840000,26832896
28:42.7,0,0,394.9231503,0,0,232521728,109490176,353308672,35840000,26832896
28:49.2,0.242621191,0.242621191,386.2529358,0,0,232747008,109490176,348229632,35840000,26832896
28:49.6,0,0,396.551024,0,0,232747008,109490176,348958720,35840000,26832896
28:50.6,0,0,395.38481,0,0,232747008,109490176,350777344,35840000,26832896
28:51.6,0,0,400.0003251,0,0,232747008,109490176,352460800,35840000,26832896
28:52.6,0,0,398.4368227,0,0,232747008,109490176,354201600,35840000,26832896
28:53.6,0,0,395.9279209,0,0,232673280,109490176,355831808,35840000,26832896
28:54.6,0,0,399.9995937,0,0,232673280,109490176,357335040,35840000,26832896
28:55.7,0,0,398.5505768,0,0,232673280,109490176,359063552,35840000,26832896
29:02.2,0.239432965,0,397.937588,0,0,233136128,109490176,369795072,35840000,26832896
29:02.6,11.53844166,0,323.0763664,0,0,233136128,109490176,327942144,35840000,26832896
29:03.6,3.140473742,0,365.865191,0,0,233848832,109490176,356962304,35840000,26832896
29:04.6,1.562499219,0,396.8748016,0,0,233848832,109490176,358969344,35840000,26832896
29:05.6,0,0,399.9998031,0,0,233848832,109490176,360919040,35840000,26832896
29:06.6,0,0,395.2384566,0,0,233848832,109490176,362655744,35840000,26832896
29:07.6,0,0,395.3121838,0,0,233848832,109490176,364400640,35840000,26832896
29:08.7,0,0,395.0034011,0,0,233848832,109490176,366284800,35840000,26832896
29:14.6,0.794378751,0.529585834,397.7189611,0,0,235569152,109490176,378802176,35840000,26832896
29:15.6,1.587300459,1.587300459,396.8251146,0,0,235569152,109490176,380411904,35840000,26832896
29:16.6,0,0,398.4614208,0,0,235569152,109490176,382005248,35840000,26832896
29:17.6,0,0,399.9999187,0,0,235569152,109490176,383528960,35840000,26832896
29:18.6,0,0,397.4536733,0,0,235569152,109490176,385122304,35840000,26832896
29:19.6,0,0,395.2763564,0,0,235569152,109490176,386621440,35840000,26832896
29:20.7,0,0,395.7148284,0,0,235569152,109490176,388677632,35840000,26832896
