start,end,total
9865979.636362,9871723.535062,5743.8987
9871724.022162,9877354.453262,5630.4311
9877354.636362,9883047.905162,5693.2688
9883048.042062,9888805.590662,5757.5486
9888805.766962,9895501.059462,6695.2925
9895501.201862,9902625.371762,7124.1699
9902625.662662,9909738.291062,7112.6284
9909738.427762,9916720.386862,6981.9591
9916720.529562,9922690.554062,5970.0245
9922690.675962,9929297.006362,6606.3304
9929297.113762,9935544.689662,6247.5759
9935544.817962,9942152.638962,6607.821
9942152.763962,9948777.746162,6624.9822
9948777.847062,9955767.346362,6989.4993
9955767.483762,9961333.180662,5565.6969
9961333.303362,9967061.168862,5727.8655
9967061.289362,9972598.986062,5537.6967
9972599.085162,9978295.539562,5696.4544
9978295.677062,9983939.512362,5643.8353
9983939.671162,9989623.705062,5684.0339
9989623.819162,9995297.073462,5673.2543
9995297.186962,10000973.851562,5676.6646
10000973.973762,10006587.095162,5613.1214
10006587.207962,10012262.536862,5675.3289
10012262.661062,10017920.991862,5658.3308
10017921.103962,10023576.420362,5655.3164
10023576.543662,10029177.832162,5601.2885
10029177.929462,10034823.265762,5645.3363
10034823.376062,10040628.871662,5805.4956
10040628.985362,10046234.007962,5605.0226
10046234.135862,10051911.245562,5677.1097
10051911.361962,10057650.867762,5739.5058
10057650.991462,10063237.086462,5586.095
10063237.213762,10068789.076262,5551.8625
10068789.175362,10074436.633662,5647.4583
10074436.772062,10080066.036862,5629.2648
10080066.176062,10085605.613362,5539.4373
10085605.729662,10091261.493362,5655.7637
10091261.639162,10096886.073962,5624.4348
10096886.174662,10102508.312062,5622.1374
10102508.460862,10108068.006962,5559.5461
10108068.134862,10113663.003062,5594.8682
10113663.229462,10119232.837862,5569.6084
10119232.935062,10125074.554962,5841.6199
10125074.676962,10130694.149262,5619.4723
10130694.266562,10136259.257762,5564.9912
10136259.372062,10141907.433062,5648.061
10141907.543162,10147537.974362,5630.4312
10147538.109662,10153199.109862,5661.0002
10153199.228462,10158806.931862,5607.7034
