start,end,total
79,2054,1975
2081,3713,1633
3734,5183,1449
5195,6649,1454
6660,8167,1506
8179,9667,1488
9680,11187,1507
11203,12684,1481
12717,14065,1348
14088,15397,1308
15410,16910,1500
16933,18338,1405
18354,19727,1373
19739,21245,1505
21257,22699,1441
22712,24023,1311
24037,25337,1300
25364,26761,1396
26774,28110,1337
28125,29443,1318
29459,30924,1465
30937,32291,1354
32304,33516,1212
33531,34994,1464
35008,36372,1364
36385,37896,1511
37909,39343,1434
39361,40650,1289
40664,41867,1202
41877,43165,1288
43181,44331,1150
44344,45661,1317
45672,47143,1470
47161,48559,1398
48578,50037,1459
50049,51444,1395
51456,52738,1282
52757,54028,1271
54044,55582,1537
55595,57084,1489
57097,58606,1509
58621,59981,1360
59992,61104,1112
61115,62642,1527
62655,64155,1500
64169,65695,1526
65707,67210,1503
67230,68673,1443
68685,70148,1463
70161,71396,1235
