start,end,total
8606076.478862,8606225.248262,148.7694
8606225.734362,8606344.202462,118.4681
8606344.347362,8606560.717762,216.3704
8606560.858762,8606706.013562,145.1548
8606706.151062,8606829.094562,122.9435
8606829.210062,8606944.149562,114.9395
8606944.259462,8607088.094162,143.8347
8607088.200862,8607203.896162,115.6953
8607204.000162,8607330.831262,126.8311
8607330.932862,8607442.468862,111.536
8607442.617762,8607567.410962,124.7932
8607567.530762,8607701.260162,133.7294
8607701.368562,8607817.687662,116.3191
8607817.786362,8607928.177962,110.3916
8607928.278862,8608037.980862,109.702
8608038.083162,8608160.026962,121.9438
8608160.135062,8608294.317262,134.1822
8608294.421562,8608406.636862,112.2153
8608406.741162,8608525.679962,118.9388
8608525.787262,8608636.339162,110.5519
8608636.439462,8608760.263162,123.8237
8608760.391562,8608877.521062,117.1295
8608877.627762,8609001.932862,124.3051
8609002.042162,8609119.991662,117.9495
8609120.115962,8609234.599962,114.484
8609234.708162,8609350.631062,115.9229
8609350.728062,8609480.540762,129.8127
8609480.651862,8609595.330462,114.6786
8609595.426462,8609728.216362,132.7899
8609728.310362,8609847.611662,119.3013
8609847.716162,8609969.611462,121.8953
8609969.712662,8610077.340062,107.6274
8610077.435462,8610197.866162,120.4307
8610197.963962,8610315.854362,117.8904
8610315.953562,8610446.840862,130.8873
8610446.956262,8610566.929862,119.9736
8610567.030862,8610688.608362,121.5775
8610688.713762,8610808.857462,120.1437
8610808.961262,8610924.307062,115.3458
8610924.405362,8611046.497562,122.0922
8611046.636062,8611175.595562,128.9595
8611175.699862,8611295.237962,119.5381
8611295.340062,8611419.625162,124.2851
8611419.724662,8611562.894362,143.1697
8611562.995162,8611688.642562,125.6474
8611688.747462,8611830.998462,142.251
8611831.094062,8611945.696562,114.6025
8611945.808162,8612056.643362,110.8352
8612056.740262,8612176.510162,119.7699
8612176.605562,8612309.200262,132.5947
