start,end,total
6417376.967862,6417627.054362,250.0865
6417682.510962,6417923.686762,241.1758
6417977.328762,6418212.600062,235.2713
6418266.681162,6418501.472462,234.7913
6418555.767862,6418800.067362,244.2995
6418855.703862,6419089.570762,233.8669
6419145.935162,6419379.366862,233.4317
6419433.619262,6419664.203962,230.5847
6419717.376762,6419951.856062,234.4793
6420006.889762,6420242.565062,235.6753
6420296.015762,6420553.441262,257.4255
6420607.861962,6420843.381862,235.5199
6420896.534762,6421137.407362,240.8726
6421194.375162,6421452.022662,257.6475
6421507.047162,6421764.153662,257.1065
6421821.824962,6422088.440962,266.616
6422145.515562,6422390.918962,245.4034
6422445.703062,6422688.514662,242.8116
6422743.911962,6422982.244862,238.3329
6423036.245262,6423287.843362,251.5981
6423341.825462,6423575.939962,234.1145
6423629.021862,6423866.329462,237.3076
6423919.764862,6424151.702762,231.9379
6424205.793062,6424440.835662,235.0426
6424494.375562,6424728.670662,234.2951
6424783.421262,6425034.180862,250.7596
6425088.161562,6425321.580762,233.4192
6425375.791262,6425610.559462,234.7682
6425665.049662,6425902.376762,237.3271
6425956.897062,6426195.363562,238.4665
6426250.984362,6426502.838262,251.8539
6426557.576962,6426791.238962,233.662
6426845.154562,6427084.297862,239.1433
6427138.206262,6427372.821062,234.6148
6427427.537662,6427676.830962,249.2933
6427732.080562,6427968.158062,236.0775
6428022.185562,6428257.024962,234.8394
6428310.418862,6428548.181762,237.7629
6428600.889362,6428837.804862,236.9155
6428890.465562,6429127.763262,237.2977
6429180.337662,6429445.102462,264.7648
6429511.943062,6429750.535062,238.592
6429803.824462,6430035.682962,231.8585
6430090.968162,6430327.077662,236.1095
6430381.446862,6430617.373662,235.9268
6430674.214462,6430934.501762,260.2873
6430988.942262,6431226.068462,237.1262
6431281.998362,6431515.446162,233.4478
6431570.091762,6431806.686462,236.5947
6431860.228562,6432108.302662,248.0741
