start,end,total
29,2034,2006
2043,3694,1651
3708,5453,1745
5458,7122,1663
7127,8733,1606
8738,10535,1797
10540,12348,1808
12355,13813,1458
13819,15272,1453
15280,16651,1371
16657,18282,1626
18289,20046,1757
20051,21705,1654
21711,23172,1461
23181,24613,1432
24619,26256,1637
26267,27701,1433
27706,29301,1595
29308,30940,1632
30950,32708,1758
32714,34283,1569
34290,35772,1483
35777,37431,1654
37438,38806,1369
38811,40476,1664
40482,42182,1700
42190,43772,1582
43781,45376,1594
45383,46893,1511
46899,48494,1596
48502,50082,1581
50087,51835,1748
51841,53449,1608
53455,55050,1594
55056,56503,1447
56508,58122,1614
58129,59599,1470
59604,61146,1542
61158,62939,1782
62945,64425,1480
64430,66093,1663
66100,67644,1544
67655,69196,1541
69202,70802,1600
70810,72534,1723
72538,74161,1622
74166,75768,1602
75776,77199,1423
77204,78845,1641
78854,80508,1654
