(PDH-CSV 4.0) (,\\DESKTOP-940RFIL\Proces(firefox)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#1)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#2)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#3)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox#4)\Czas procesora (%),\\DESKTOP-940RFIL\Proces(firefox)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#1)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#2)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#3)\Bajty prywatne,\\DESKTOP-940RFIL\Proces(firefox#4)\Bajty prywatne
41:25.6,27.37269967,13.68634984,21.28987752,0,0,191905792,242569216,107884544,29462528,14950400
41:26.6,8.171294173,27.78240019,145.4490363,0,0,196603904,241504256,138305536,29462528,14950400
41:27.6,3.07691823,12.30767292,141.5382386,0,0,196837376,192135168,153354240,27377664,14950400
41:28.6,11.11112917,15.87304167,141.2700709,0,0,196870144,147369984,167280640,27377664,14950400
41:29.6,48.38574661,18.72996643,104.5756459,0,0,219836416,147148800,157376512,27377664,14950400
41:30.6,15.47030469,10.82921328,142.3268031,0,0,213024768,151932928,169455616,27377664,14950400
41:31.6,1.571610943,15.71610943,144.5882068,0,0,213352448,151801856,151252992,26611712,14950400
41:32.6,10.76923501,13.8461593,132.3077444,0,0,214167552,145125376,171835392,26611712,14950400
41:33.6,9.523798881,7.936499068,146.0315828,0,0,213946368,105267200,153104384,26611712,14950400
41:34.6,12.3077117,12.3077117,124.6155809,0,0,194068480,105267200,164253696,26611712,14950400
41:35.6,6.298010997,4.723508248,143.2797502,0,0,195055616,105267200,179470336,26611712,14950400
41:36.6,3.170542625,9.511627876,147.4302321,0,0,196026368,104873984,195379200,26611712,14950400
41:37.6,6.153847972,6.153847972,136.9231174,0,0,196026368,105922560,229060608,26611712,14950400
41:38.6,4.761910567,11.11112466,139.68271,0,0,193228800,105922560,206147584,26611712,14950400
41:39.6,7.812271882,9.374726258,134.3710764,0,0,194867200,105922560,214667264,26611712,14950400
41:40.6,3.097195853,7.742989633,144.0196072,0,0,196395008,105922560,227545088,26611712,14950400
41:41.5,6.33893269,9.508399035,144.2107187,0,0,196730880,105922560,164864000,26583040,14950400
41:42.5,1.562493125,9.37495875,156.2493125,0,0,197509120,106053632,175931392,26583040,14950400
41:43.6,4.615403247,7.692338746,138.4620974,0,0,197521408,106053632,156078080,26583040,14950400
41:44.5,4.761909116,6.349212154,112.6985157,0,0,197746688,106053632,167505920,26583040,14950400
41:45.6,13.97329032,6.210351254,138.1803154,0,0,197718016,106053632,181133312,26583040,14950400
41:46.6,26.56246016,6.249990625,131.2498031,0,0,205156352,106008576,193343488,26558464,14950400
41:47.6,78.02339014,15.60467803,137.3211666,0,0,224649216,105943040,208207872,26558464,14950400
41:48.6,3.124995625,15.62497813,131.2498163,0,0,225071104,105943040,198848512,26558464,14950400
41:49.6,6.15386312,13.84619202,140.000386,0,0,226115584,105943040,209977344,26558464,14950400
41:50.6,3.150640861,14.17788387,135.477557,0,0,225579008,104894464,239628288,26558464,14950400
41:51.5,6.349211509,12.69842302,144.4445618,0,0,225026048,104894464,177831936,26558464,14950400
41:52.5,6.242345012,10.92410377,151.3768665,0,0,223248384,104894464,190857216,26591232,14950400
41:53.5,3.12497,4.687455,143.74862,0,0,223465472,104894464,153436160,26591232,14950400
41:54.6,6.153879479,9.230819219,138.4622883,0,0,223584256,104894464,164741120,26591232,14950400
41:55.6,4.740964329,12.64257154,137.4879655,0,0,223584256,104894464,193429504,26591232,14950400
41:56.6,6.15384373,12.30768746,146.1537886,0,0,223363072,104894464,210075648,26591232,14950400
41:57.6,7.926026056,9.511231268,136.3276482,0,0,223625216,104894464,197193728,26591232,14950400
41:58.6,6.154041265,7.692551582,136.9274182,0,0,223735808,104894464,208252928,26591232,14950400
41:59.6,1.587303684,7.936518418,152.3811536,0,0,223711232,104894464,219762688,26591232,14950400
42:00.6,4.653151367,9.306302734,136.4924401,0,0,224808960,104894464,166854656,26591232,14950400
42:01.5,4.761901376,11.11110321,141.2697408,0,0,224890880,104894464,177573888,26558464,14950400
42:02.5,6.242265209,7.802831511,134.208702,0,0,225828864,104894464,156532736,26562560,14950400
42:03.6,9.230727423,10.76918199,130.7686385,0,0,227438592,104894464,167505920,26562560,14950400
42:04.5,4.762051826,7.936753044,141.2742042,0,0,228114432,104894464,180838400,26562560,14950400
42:05.5,1.555682532,9.334095195,150.9012056,0,0,228458496,104894464,193974272,26562560,14950400
42:06.6,6.153894022,9.230841033,152.308877,0,0,229482496,104894464,210485248,26562560,14950400
42:07.6,4.755312661,9.510625321,141.0742756,0,0,229220352,104894464,201908224,26574848,14950400
42:08.6,3.12499625,12.499985,139.0623331,0,0,229220352,104894464,229408768,26574848,14950400
42:09.6,3.124911877,14.06210345,153.120682,0,0,228929536,104894464,241733632,26574848,14950400
42:10.6,6.206527002,7.758158753,144.3017528,0,0,229257216,104894464,183459840,26574848,14950400
42:11.6,10.93749781,10.93749781,134.3749731,0,0,229289984,104894464,196562944,26574848,14950400
42:12.6,3.108477819,13.98815018,135.2187851,0,0,230375424,104894464,155447296,26615808,14950400
42:13.5,7.936263651,14.28527457,139.6782403,0,0,230932480,104894464,167006208,26615808,14950400
42:14.6,3.077015482,9.231046446,153.8507741,0,0,231219200,104894464,181473280,26615808,14950400
42:15.6,7.897334749,12.6357356,134.2546907,0,0,231399424,104894464,212164608,26615808,14950400
42:16.6,17.18710985,10.93725172,137.4968788,1.562464532,0,236802048,104796160,206340096,26648576,14979072
42:17.6,4.680406376,17.16149005,146.6527331,0,0,237821952,104796160,214564864,26787840,14983168
42:18.6,6.24981813,12.49963626,142.1833625,0,0,238637056,104796160,226615296,26787840,14983168
42:19.6,1.562493125,9.37495875,156.2493125,0,0,238583808,104796160,177901568,26787840,14983168
42:20.6,1.552638109,10.86846676,155.2638109,0,0,238362624,104796160,184733696,26787840,14983168
42:21.5,7.936495037,12.69839206,152.3807047,0,0,209334272,104796160,213422080,26787840,14983168
42:22.5,9.363739167,10.92436236,145.1379571,0,0,210878464,104796160,226754560,26787840,14983168
42:23.5,7.812495313,12.4999925,157.8124053,0,0,211623936,104796160,242855936,26787840,14983168
42:24.6,9.230774684,13.84616203,141.5385452,0,0,212180992,104796160,208396288,26787840,14983168
42:25.6,7.895626737,12.63300278,88.43101946,0,0,213680128,115679232,140181504,26787840,14983168
42:26.6,7.693235615,9.231882738,1.538647123,0,0,207310848,116731904,142610432,26787840,14983168
